ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Macbook Air M1 8/256Gb Bh T3/2024,15950000.0,Apple,Macbook Air,Mới,7.0,13.95,Khác,8.0,Onboard,256.0,Mỹ,Hà Nội,,
𝐋𝐚𝐩𝐭𝐨𝐩 𝐇𝐏 𝟏𝟎𝟒𝟎 – 𝐂𝐨𝐫𝐞 𝐢𝟕– 𝐑𝐀𝐌 𝟖𝐆𝐁 – 𝟏𝟒 𝐢𝐧 MỎNG NHẸ,6500000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i7,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.8,17.0
FX506 i5 10300H/RAM 16GB/512G GTX 1650-BH 12T,13400000.0,Asus,Dòng Khác,Mới,4.0,15.95,Intel Core i5,8.0,NVIDIA,512.0,,Đà Nẵng,5.0,9.0
HP Zbook 15 G5 - Máy Trạm Chuyên Đồ Hoạ,14900000.0,HP,ZBook,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,32.0,NVIDIA,512.0,,Bình Dương,4.8,10.0
Thinkpad X1 gen 6 cảm ứng mới 99 %,10500000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,4.2,11.0
Helios i9 11900H Màn 2k5 165HZ RTX 3060 BH 07/2023,27888899.0,Acer,Helios,Mới,5.0,15.95,Intel Core i9,16.0,NVIDIA,512.0,,Hà Nội,5.0,11.0
Máy Chromebook của Google,10000000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,11.95,Intel Core i5,8.0,Onboard,250.0,,Tp Hồ Chí Minh,,
Dell Gaming 7567 like new i7/16/GTx 1050ti,8400000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,16.0,NVIDIA,256.0,,Hải Phòng,3.9,8.0
"Dell Latitude 5480 i5 6300U/Ram 8G / 256G/ 14"" FHD",4600000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,1.0
bán laptop dell 6410 i5,2000000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Nam Định,4.8,5.0
Laptop Gaming Gigabyte G5 GD-51VN123SO,14500000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,16.0,,512.0,,Tp Hồ Chí Minh,5.0,1.0
LENOVO IdeaPad330 (AMD E2-9000/4GB/SSD 128GB),3200000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,15.95,AMD,4.0,AMD,128.0,Nhật Bản,Bình Dương,5.0,1.0
Lenovo Yoga 7i 16inch I5 1240P 8/256 2k5 Touch,12900000.0,Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.4,5.0
DELL E5570 I5 6440HQ 12gb ram 256SSD,7000000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,16.0,Khác,256.0,,Tp Hồ Chí Minh,5.0,4.0
Dell Precision 5550 i9 10885H T2000 15.6-Inch FHD,26990000.0,Dell,Precision,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i9,32.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.9,24.0
DELL E7390 === CORE I5_RAM 8G_SSD 256G MÀN FULL HD,7500000.0,Dell,Latitude,Mới,4.0,11.95,Intel Core i5,8.0,Onboard,256.0,,Đà Nẵng,4.9,29.0
"Dell 3467, i5-7200, Ram 8G, SSD+HDD, Zin, Mỏng đẹp",4300000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Tp Hồ Chí Minh,4.7,11.0
Lenovo IdeaPad Slim 3 15ITL6 i5-1135G7-8GB-512G-F,10500000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,Onboard,512.0,,Cần Thơ,4.6,74.0
